junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,speed_limit,engine_capacity_(cc),vehicle_type,urban_or_rural_area,road_surface_conditions,time_range,accident_severity
0,3,7,18,1,50,1390,9,2,1,22,3
0,3,7,18,1,50,1390,9,2,1,22,3
0,3,8,27,1,50,1242,9,2,1,22,3
0,3,21,27,2,40,2494,9,2,1,22,3
0,5,11,34,5,40,1686,19,2,1,6,3
0,5,5,50,5,40,1686,9,2,1,6,3
0,5,5,50,5,40,1686,9,2,1,6,3
0,5,8,55,5,40,1587,1,2,1,6,3
0,3,6,69,4,30,1390,9,2,1,10,3
0,3,13,41,3,40,1299,5,1,1,7,3
0,3,8,37,7,30,1587,9,1,1,2,3
3,3,8,50,4,30,6871,21,1,1,16,3
0,4,8,24,7,30,1587,1,1,1,19,3
3,3,8,44,1,40,1587,1,1,1,0,3
0,3,8,45,3,40,1157,5,2,1,20,3
9,3,2,57,5,30,9290,20,1,2,11,3
0,1,8,72,3,50,4398,9,2,1,16,3
0,3,12,90,3,50,1997,9,2,1,11,3
0,3,12,90,3,50,1997,9,2,1,11,3
0,3,12,48,3,50,1598,9,2,1,11,3
0,3,16,44,7,70,1595,9,1,1,21,3
3,4,2,49,4,30,10518,21,1,1,13,3
1,3,8,23,1,30,1587,19,2,1,12,3
1,5,3,78,3,30,171,4,1,1,11,3
1,4,11,81,3,30,1590,9,1,1,14,3
1,4,11,81,3,30,1590,9,1,1,14,3
1,4,11,81,3,30,1590,9,1,1,14,3
0,4,8,18,4,30,1587,9,2,2,7,3
0,4,18,57,4,30,1332,9,2,2,7,3
0,3,13,53,1,60,498,5,2,2,16,3
0,3,1,55,1,60,1248,9,2,2,16,3
0,1,1,40,6,70,1968,9,2,1,19,3
0,1,1,40,6,70,1968,9,2,1,19,3
0,4,13,28,6,40,1997,9,2,1,17,3
0,4,2,57,6,40,2993,9,2,1,17,3
9,3,14,18,4,60,1781,9,2,2,22,3
1,4,3,67,6,40,1339,9,2,2,23,3
1,4,3,67,6,40,1339,9,2,2,23,3
0,4,15,50,4,40,1242,9,2,1,13,3
0,4,23,57,4,40,1587,9,2,1,13,3
0,1,8,30,2,70,1587,19,2,1,15,3
0,3,13,62,1,60,1108,9,2,1,10,3
0,6,12,18,5,60,1396,9,2,2,19,3
0,6,12,18,5,60,1396,9,2,2,19,3
0,6,12,18,5,60,1396,9,2,2,19,3
0,6,4,67,5,60,1968,9,2,2,19,3
0,1,3,32,3,70,1997,9,2,1,11,3
0,1,8,46,5,70,1587,9,2,1,12,3
3,3,1,52,6,60,999,2,2,1,11,3
3,3,18,23,1,40,1984,9,2,1,0,3
3,3,3,20,1,40,1598,9,2,1,0,3
3,3,3,20,1,40,1598,9,2,1,0,3
3,3,3,20,1,40,1598,9,2,1,0,3
3,3,4,48,1,40,2179,9,2,1,0,3
0,5,7,34,7,40,1798,9,2,1,20,3
0,5,1,19,7,40,1395,9,2,1,20,3
0,5,8,28,3,60,1587,8,2,1,15,3
0,5,6,67,3,60,1998,9,2,1,15,3
8,3,5,36,1,60,1870,9,2,1,15,3
8,3,5,36,1,60,1870,9,2,1,15,3
8,3,5,36,1,60,1870,9,2,1,15,3
8,3,5,36,1,60,1870,9,2,1,15,3
8,3,5,36,1,60,1870,9,2,1,15,3
8,3,5,55,1,60,1198,5,2,1,15,3
0,3,7,43,7,70,1910,9,2,2,2,3
0,3,8,38,6,70,2198,19,2,2,4,3
0,3,8,38,6,70,2198,19,2,2,4,3
0,3,14,24,6,40,1598,9,2,1,1,3
0,3,14,24,6,40,1598,9,2,1,1,3
0,3,14,24,6,40,1598,9,2,1,1,3
5,3,16,44,7,70,3199,9,1,1,3,3
5,3,16,44,7,70,3199,9,1,1,3,3
6,3,15,26,1,30,1598,9,2,1,22,3
6,3,16,41,1,30,2996,9,2,1,22,3
6,3,16,41,1,30,2996,9,2,1,22,3
3,3,10,74,4,60,1598,9,2,1,16,3
3,3,10,74,4,60,1598,9,2,1,16,3
0,3,5,49,6,50,9360,11,1,1,12,3
0,3,3,38,6,50,1995,9,1,1,12,3
0,3,3,38,6,50,1995,9,1,1,12,3
0,3,9,39,6,50,4250,20,1,1,12,3
0,3,16,44,3,50,1052,5,2,1,0,3
3,3,13,36,5,30,125,3,1,1,17,3
3,4,8,45,7,30,1753,9,1,1,18,3
0,4,8,82,7,30,1975,9,1,1,16,3
0,4,10,31,7,30,1597,9,1,1,16,3
0,4,10,31,7,30,1597,9,1,1,16,3
0,4,5,18,3,60,1229,9,2,1,18,3
5,3,8,37,7,40,1587,9,2,1,1,3
3,6,1,79,5,30,1197,9,2,1,18,3
0,1,2,19,3,70,1229,9,2,1,1,3
0,1,8,44,3,70,1587,21,2,1,1,3
0,5,12,18,1,60,1149,9,2,2,0,3
0,5,12,18,1,60,1149,9,2,2,0,3
0,5,12,18,1,60,1149,9,2,2,0,3
3,3,5,51,1,30,656,5,1,1,10,3
5,1,8,58,7,70,1587,21,1,1,0,3
0,6,2,38,6,30,2143,19,2,1,14,3
0,4,11,35,4,60,2776,9,2,2,7,3
0,4,8,55,4,60,1560,9,2,2,7,3
3,6,14,25,6,30,847,9,2,1,7,3
0,3,6,20,5,40,998,9,2,2,0,3
0,3,6,20,5,40,998,9,2,2,0,3
0,3,6,20,5,40,998,9,2,2,0,3
0,3,13,24,5,40,1198,9,2,1,20,3
0,3,13,24,5,40,1198,9,2,1,20,3
0,3,13,24,5,40,1198,9,2,1,20,3
0,1,2,54,4,70,1598,19,2,1,6,3
9,3,9,64,5,40,124,3,2,2,10,3
1,4,2,58,1,30,2143,9,1,1,17,3
1,4,2,58,1,30,2143,9,1,1,17,3
3,3,7,47,5,60,654,5,2,2,18,3
3,6,8,55,6,30,1587,9,1,2,16,3
6,5,10,56,7,30,1299,9,1,2,0,3
0,5,8,37,1,60,1587,9,2,1,16,3
3,5,14,46,6,30,1999,9,1,2,17,3
8,3,8,57,3,60,1587,9,2,1,15,3
8,3,18,50,3,60,1157,5,2,1,15,3
0,4,8,85,7,30,1587,90,1,1,10,3
0,6,11,23,1,50,1198,9,2,2,22,3
0,5,1,23,7,50,998,9,2,2,20,3
0,5,1,23,7,50,998,9,2,2,20,3
0,5,1,23,7,50,998,9,2,2,20,3
0,5,6,53,7,50,1798,9,2,2,20,3
0,5,6,53,7,50,1798,9,2,2,20,3
0,5,6,53,7,50,1798,9,2,2,20,3
0,5,6,53,7,50,1798,9,2,2,20,3
0,3,7,19,1,50,125,3,2,2,13,3
5,1,2,74,1,70,1461,9,2,1,5,3
0,4,12,34,1,50,1388,9,2,2,6,3
0,4,8,61,1,50,1587,9,2,2,6,3
3,3,8,86,5,30,1587,9,2,2,10,3
3,3,8,86,5,30,1587,9,2,2,10,3
3,3,8,86,5,30,1587,9,2,2,10,3
3,3,8,86,5,30,1587,9,2,2,10,3
3,3,8,86,5,30,1587,9,2,2,10,3
3,3,1,73,5,30,1368,9,2,2,10,3
0,5,8,47,5,60,1587,9,2,2,19,3
0,5,8,47,5,60,1587,9,2,2,19,3
3,3,8,23,5,30,1587,1,1,1,3,3
0,4,12,21,6,60,1753,9,2,4,0,3
3,3,10,25,7,50,1587,9,2,2,17,3
0,4,8,86,2,50,2496,9,2,2,12,3
0,4,8,86,2,50,2496,9,2,2,12,3
0,6,8,52,1,60,1587,1,2,2,19,3
0,6,8,43,1,60,1587,1,2,2,19,3
0,3,5,53,5,60,10837,21,2,1,11,3
0,3,8,49,5,60,1969,9,2,1,11,3
0,3,4,80,5,60,1598,9,2,1,13,3
0,3,4,59,5,60,12900,21,2,1,13,3
3,6,10,33,7,30,599,5,1,1,16,3
3,6,12,83,2,60,1840,9,2,1,15,3
3,6,39,22,2,60,3500,9,2,1,15,3
3,4,13,20,1,30,1149,9,1,1,0,3
3,4,13,20,1,30,1149,9,1,1,0,3
3,3,16,22,1,40,1124,9,2,1,6,3
3,3,16,22,1,40,1124,9,2,1,6,3
0,3,6,75,1,60,1598,9,2,1,16,3
0,3,6,75,1,60,1598,9,2,1,16,3
0,3,10,54,1,60,2461,19,2,1,16,3
0,3,8,22,5,30,675,5,1,1,21,3
0,3,8,22,5,30,675,5,1,1,21,3
0,3,8,22,5,30,675,5,1,1,21,3
0,4,8,19,5,40,998,9,2,2,22,3
0,5,10,31,7,30,2463,19,1,2,0,3
0,5,10,31,7,30,2463,19,1,2,0,3
0,5,10,31,7,30,2463,19,1,2,0,3
0,5,10,31,7,30,2463,19,1,2,0,3
0,5,10,31,7,30,2463,19,1,2,0,3
8,3,14,61,1,60,885,5,2,1,10,3
8,3,12,53,1,60,1596,9,2,1,10,3
8,3,12,53,1,60,1596,9,2,1,10,3
0,6,15,42,2,60,1896,9,2,1,0,3
0,6,12,67,2,60,2179,9,2,1,0,3
0,3,5,18,4,60,1248,9,2,1,21,3
0,3,1,66,4,60,865,5,2,1,21,3
0,3,1,66,4,60,865,5,2,1,21,3
0,6,15,23,7,60,1794,9,1,1,23,3
3,3,1,31,5,50,806,5,2,1,18,3
6,3,3,45,4,30,2497,9,1,1,23,3
0,4,8,22,6,60,1400,9,2,2,14,3
0,4,8,22,6,60,1400,9,2,2,14,3
0,4,8,22,6,60,1400,9,2,2,14,3
0,3,16,20,3,60,1242,9,2,2,18,3
0,3,8,34,3,60,1998,9,2,2,18,3
0,3,4,20,1,40,124,3,1,1,12,3
6,6,12,21,1,30,449,4,1,1,20,3
0,3,9,27,2,60,1998,9,2,2,22,3
0,3,9,48,2,60,2720,9,2,2,22,3
8,3,8,41,1,60,999,5,2,1,11,3
8,3,12,47,1,60,998,9,2,1,11,3
8,3,12,47,1,60,998,9,2,1,11,3
8,3,4,35,1,60,999,5,2,1,11,3
0,3,9,77,4,70,2776,9,1,1,21,3
0,6,3,55,6,60,1984,9,2,1,3,3
8,3,7,65,1,60,1598,9,2,1,12,3
8,3,8,30,1,60,599,5,2,1,12,3
0,4,11,47,7,60,1588,9,2,2,21,3
3,3,8,42,1,70,2143,9,2,1,0,3
0,3,16,20,7,60,1796,9,2,2,12,3
0,3,16,20,7,60,1796,9,2,2,12,3
0,3,3,22,7,60,1198,9,2,2,12,3
0,4,20,53,1,60,599,5,2,2,11,3
0,3,7,24,4,60,1399,9,2,2,11,3
0,3,3,46,4,60,1968,9,2,2,11,3
0,3,3,46,4,60,1968,9,2,2,11,3
0,3,3,46,4,60,1968,9,2,2,11,3
3,3,8,78,4,60,1587,9,2,1,16,3
3,3,8,78,4,60,1587,9,2,1,16,3
0,6,16,26,7,60,1800,9,1,2,0,3
0,3,15,22,5,60,1994,9,2,2,9,3
0,3,6,43,5,60,1997,9,2,2,9,3
0,3,6,43,5,60,1997,9,2,2,9,3
0,3,6,43,5,60,1997,9,2,2,9,3
0,3,6,43,5,60,1997,9,2,2,9,3
3,3,1,67,7,50,125,3,2,2,10,3
3,3,1,67,7,50,125,3,2,2,10,3
0,6,9,31,2,30,4799,9,2,1,20,3
0,6,8,66,3,30,1587,1,1,1,14,3
0,3,6,27,6,60,1995,9,2,2,11,3
3,3,23,25,4,40,400,4,2,1,7,3
3,6,8,35,3,30,1499,9,2,1,12,3
0,3,8,27,1,70,124,3,2,2,22,3
0,4,10,29,7,30,1598,9,2,1,19,3
0,4,1,52,7,30,1390,9,2,1,19,3
0,4,1,52,7,30,1390,9,2,1,19,3
0,4,1,52,7,30,1390,9,2,1,19,3
0,4,1,52,7,30,1390,9,2,1,19,3
0,3,12,57,4,60,1994,9,2,2,6,3
1,3,6,20,1,30,249,4,2,1,15,3
0,3,13,24,6,60,1896,9,2,2,16,3
0,3,1,43,6,60,2494,9,2,2,16,3
0,3,13,30,6,60,1995,9,2,2,17,3
0,3,13,30,6,60,1995,9,2,2,17,3
0,3,16,40,6,60,998,9,2,2,17,3
0,5,2,44,2,30,999,9,2,1,7,3
0,5,8,41,2,30,1587,1,2,1,7,3
0,5,8,37,2,30,1587,1,2,1,7,3
0,4,1,37,3,30,12809,21,1,1,14,3
6,6,3,33,7,30,10518,21,1,1,12,3
3,3,8,71,5,30,1587,1,1,1,17,3
0,3,8,46,3,30,999,97,2,1,16,3
0,6,7,36,4,40,998,5,1,2,9,3
0,3,6,31,4,50,1364,9,2,2,4,3
0,3,6,31,4,50,1364,9,2,2,4,3
0,3,8,52,4,50,1984,9,2,2,4,3
9,3,10,80,6,40,1242,9,2,1,22,3
0,4,6,37,1,60,2995,9,2,1,3,3
0,4,6,37,1,60,2995,9,2,1,3,3
0,3,10,22,4,70,1753,9,2,1,0,3
0,6,15,53,3,60,1360,9,2,1,12,3
0,6,1,68,3,60,1598,9,2,1,12,3
0,6,1,68,3,60,1598,9,2,1,12,3
0,6,1,68,3,60,1598,9,2,1,12,3
0,3,8,23,1,70,1364,9,2,2,8,3
0,3,20,20,7,60,1296,9,2,2,11,3
0,3,7,31,7,60,1422,9,2,2,11,3
0,3,8,41,7,60,1587,9,2,2,11,3
0,3,3,51,1,30,1598,9,1,1,1,3
0,3,8,45,3,60,999,5,2,1,15,3
0,6,5,75,5,60,1560,9,2,1,10,3
0,3,13,34,1,60,1149,9,2,2,19,3
0,3,13,34,1,60,1149,9,2,2,19,3
0,3,13,34,1,60,1149,9,2,2,19,3
0,3,15,45,1,60,1598,9,2,2,19,3
0,3,15,45,1,60,1598,9,2,2,19,3
0,3,15,45,1,60,1598,9,2,2,19,3
0,3,8,78,6,60,1197,9,2,1,14,3
0,3,2,36,6,60,6374,21,2,1,14,3
0,6,8,37,7,30,1587,9,2,1,13,3
3,3,7,51,3,50,3000,9,2,1,12,3
3,3,7,51,3,50,3000,9,2,1,12,3
0,6,8,74,4,30,1560,9,1,1,10,3
0,6,16,43,4,60,1796,9,2,2,11,3
9,3,8,23,2,60,125,3,2,2,9,3
9,3,8,29,2,60,1587,9,2,2,9,3
0,1,12,58,3,70,2198,9,2,1,12,3
0,6,8,44,6,60,1587,1,2,1,17,3
0,6,11,47,3,60,2000,9,2,2,14,3
0,6,16,25,3,60,1998,9,2,2,14,3
0,6,16,25,3,60,1998,9,2,2,14,3
3,3,8,79,1,50,1587,1,2,2,14,3
1,3,6,83,1,30,1360,9,1,1,10,3
0,6,8,82,6,60,1560,9,2,1,16,3
1,6,1,96,7,30,1587,22,1,2,15,3
0,3,8,77,4,60,1587,9,2,2,18,3
0,6,13,27,7,60,1388,9,2,1,21,3
0,6,14,51,7,60,2495,9,2,1,21,3
1,3,12,72,6,30,2685,9,2,1,14,3
3,4,14,27,7,30,1149,9,2,1,5,3
0,1,8,49,1,70,1587,9,2,1,18,3
0,3,8,82,2,70,1984,9,2,1,15,3
0,3,8,51,2,70,1587,9,2,1,15,3
0,6,9,49,1,60,998,5,2,1,16,3
0,3,2,43,4,60,1461,9,2,1,20,3
0,3,2,43,4,60,1461,9,2,1,20,3
0,3,2,43,4,60,1461,9,2,1,20,3
0,3,2,23,4,60,1242,9,2,1,20,3
0,3,16,47,3,60,2000,9,2,2,6,3
0,3,3,54,3,60,1598,9,2,2,6,3
0,3,8,28,3,60,1242,9,2,2,6,3
9,3,13,20,1,30,1598,9,2,1,2,3
9,3,13,20,1,30,1598,9,2,1,2,3
9,3,13,20,1,30,1598,9,2,1,2,3
3,3,9,27,7,60,599,5,2,1,14,3
0,3,7,88,1,30,1386,9,2,1,15,3
0,3,7,88,1,30,1386,9,2,1,15,3
0,3,15,25,6,60,1997,9,2,1,19,3
0,3,15,25,6,60,1997,9,2,1,19,3
0,3,15,25,6,60,1997,9,2,1,19,3
0,3,17,55,6,60,1242,9,2,1,19,3
0,3,8,31,6,60,1587,9,2,1,19,3
3,3,8,21,3,50,1587,1,2,1,8,3
0,1,10,51,1,70,2461,19,2,1,21,3
0,1,10,51,1,70,2461,19,2,1,21,3
0,1,10,51,1,70,2461,19,2,1,21,3
6,3,8,32,6,50,1587,9,2,2,17,3
1,3,22,37,1,50,1796,9,2,1,1,3
1,3,22,37,1,50,1796,9,2,1,1,3
1,1,10,60,3,70,1560,9,1,2,10,3
0,3,17,31,1,60,1840,9,2,1,9,3
0,6,11,19,2,30,11021,21,1,2,16,3
0,6,11,19,2,30,11021,21,1,2,16,3
0,6,11,19,2,30,11021,21,1,2,16,3
0,6,8,57,2,30,1587,9,1,2,16,3
0,6,8,57,2,30,1587,9,1,2,16,3
0,6,11,40,2,30,1390,9,1,2,16,3
0,6,2,34,2,30,1984,9,1,2,16,3
0,6,2,34,2,30,1984,9,1,2,16,3
0,6,2,34,2,30,1984,9,1,2,16,3
0,3,11,42,2,40,1299,9,2,1,5,3
0,6,18,47,3,30,5900,11,1,1,11,3
0,3,13,46,7,40,1596,9,2,1,16,3
0,6,8,37,4,30,1587,9,1,1,16,3
0,3,2,21,5,70,48,2,2,1,15,3
8,6,12,37,3,40,1299,9,2,1,9,3
8,6,12,37,3,40,1299,9,2,1,9,3
8,6,12,37,3,40,1299,9,2,1,9,3
3,3,8,33,7,40,125,3,2,1,9,3
0,3,9,47,5,70,998,5,1,1,9,3
0,6,8,73,1,30,1587,9,2,1,17,3
0,3,8,7,5,60,1587,1,2,1,15,3
3,3,1,43,4,30,125,3,1,1,5,3
0,3,9,81,5,60,1360,9,2,1,11,3
0,4,8,77,6,60,1997,9,2,1,11,3
0,4,8,50,6,60,1587,9,2,1,11,3
0,3,8,67,3,60,1587,17,2,1,15,3
0,3,13,54,3,60,1389,9,2,1,15,3
0,3,13,54,3,60,1389,9,2,1,15,3
0,3,13,54,3,60,1389,9,2,1,15,3
0,4,14,26,2,60,1587,9,2,1,15,3
0,6,8,37,7,20,1587,9,1,1,5,3
0,6,15,81,6,30,1795,9,1,1,20,3
8,6,8,35,6,20,1587,22,1,1,22,3
0,3,12,40,7,30,1390,9,1,1,6,3
0,3,8,20,3,50,1587,1,2,2,18,3
0,1,18,20,1,40,1493,9,1,2,4,3
0,3,6,67,7,60,1582,9,2,1,14,3
0,3,6,67,7,60,1582,9,2,1,14,3
5,3,8,43,2,70,1587,1,1,2,22,3
0,3,9,21,4,60,1242,9,2,2,8,3
0,3,1,25,4,60,1995,9,2,2,8,3
0,3,1,25,4,60,1995,9,2,2,8,3
0,3,1,25,4,60,1995,9,2,2,8,3
0,3,1,25,4,60,1995,9,2,2,8,3
6,4,3,83,6,50,1398,9,2,1,15,3
6,4,8,22,6,50,1587,9,2,1,15,3
0,3,9,72,1,60,1598,9,2,4,15,3
0,3,9,72,1,60,1598,9,2,4,15,3
0,3,11,89,6,50,1339,9,2,1,16,3
0,3,11,89,6,50,1339,9,2,1,16,3
0,3,18,22,6,60,1124,9,2,2,10,3
0,5,8,52,3,30,1587,1,1,1,11,3
1,3,12,36,6,70,1598,9,1,2,2,3
8,3,4,41,2,60,998,5,2,1,11,3
8,3,4,46,2,60,1043,5,2,1,11,3
0,3,3,51,1,60,2198,19,2,1,4,3
0,4,13,42,7,40,919,5,2,1,15,3
0,4,5,43,7,40,1043,5,2,1,15,3
2,3,8,71,4,30,125,3,1,1,13,3
0,3,7,20,3,60,1339,9,2,2,20,3
0,3,11,43,3,60,1796,9,2,2,20,3
0,3,11,43,3,60,1796,9,2,2,20,3
0,5,18,56,6,60,998,9,2,1,17,3
3,3,7,26,1,40,125,3,1,2,14,3
0,3,12,57,3,50,1398,9,2,2,9,3
0,3,17,26,3,50,1124,9,2,2,9,3
0,3,15,26,5,40,1598,9,2,1,1,3
0,3,9,23,5,40,2967,9,2,1,1,3
0,3,9,23,5,40,2967,9,2,1,1,3
9,3,3,26,7,50,1150,5,2,1,8,3
9,3,6,50,7,50,1896,9,2,1,8,3
0,4,13,72,4,60,1753,9,2,2,11,3
0,4,13,72,4,60,1753,9,2,2,11,3
0,4,13,72,4,60,1753,9,2,2,11,3
0,4,13,72,4,60,1753,9,2,2,11,3
0,5,8,23,7,30,999,9,1,1,17,3
0,3,2,84,6,60,1796,9,2,1,0,3
0,1,2,21,5,70,1995,9,2,1,5,3
0,3,6,51,6,50,998,9,2,2,6,3
0,3,7,30,6,50,1560,9,2,2,6,3
0,1,8,47,2,70,1587,9,2,1,18,3
0,1,3,52,2,70,10837,21,2,1,18,3
0,3,14,25,1,40,973,9,2,2,0,3
0,3,14,25,1,40,973,9,2,2,0,3
0,1,8,48,2,70,1587,21,2,2,3,3
3,3,2,20,7,40,124,3,2,1,16,3
0,5,8,54,5,60,1587,1,2,1,15,3
0,3,4,51,1,70,675,5,2,1,19,3
0,3,4,51,1,70,675,5,2,1,19,3
0,3,6,59,2,60,1596,9,2,1,13,3
0,3,7,61,2,60,1968,9,2,1,13,3
0,3,7,61,2,60,1968,9,2,1,13,3
1,3,8,25,3,50,599,5,2,2,6,3
0,5,6,29,5,60,599,5,2,1,1,3
3,5,8,11,4,30,1587,1,2,1,19,3
0,3,30,45,5,60,197,4,2,1,14,3
0,3,1,53,5,60,1968,9,2,1,14,3
0,3,13,61,2,60,2495,9,2,2,16,3
0,3,13,61,2,60,2495,9,2,2,16,3
0,3,13,61,2,60,2495,9,2,2,16,3
0,3,12,58,2,60,1896,9,2,2,16,3
3,3,4,51,6,60,3436,9,2,1,19,3
3,3,4,51,6,60,3436,9,2,1,19,3
3,3,7,58,6,60,8867,21,2,1,19,3
3,3,8,61,4,60,1998,9,2,1,17,3
3,3,14,49,4,60,1157,5,2,1,17,3
0,1,13,60,1,70,1984,9,2,1,2,3
0,1,13,60,1,70,1984,9,2,1,2,3
0,1,13,60,1,70,1984,9,2,1,2,3
0,1,13,60,1,70,1984,9,2,1,2,3
6,6,7,57,5,30,1988,9,2,1,0,3
3,3,20,73,5,60,1340,5,2,1,10,3
0,3,8,18,5,60,125,4,2,1,17,3
0,3,8,60,7,60,1587,1,2,1,17,3
1,4,9,30,1,40,999,5,1,1,21,3
0,4,8,71,2,30,1587,1,1,1,9,3
3,4,10,29,5,50,125,3,2,1,14,3
0,3,8,23,6,60,998,9,2,1,21,3
0,3,10,76,6,60,1560,9,2,1,21,3
0,3,10,76,6,60,1560,9,2,1,21,3
0,3,12,57,5,60,998,9,2,2,6,3
0,3,1,31,5,60,1248,19,2,2,6,3
0,3,10,20,1,60,1598,9,2,1,23,3
0,3,7,30,1,60,1364,9,2,1,23,3
0,3,7,30,1,60,1364,9,2,1,23,3
0,3,15,24,1,60,2496,9,2,1,23,3
3,3,2,31,3,50,1753,19,2,2,13,3
3,3,9,97,3,50,1910,9,2,2,13,3
3,5,1,23,7,30,1956,9,2,1,10,3
3,3,8,78,4,60,1368,9,2,1,11,3
3,3,3,52,4,60,10837,21,2,1,11,3
3,3,11,32,4,60,1596,9,2,1,11,3
0,3,5,49,2,60,1360,9,2,2,20,3
0,3,10,27,2,60,1896,9,2,2,20,3
0,3,10,27,2,60,1896,9,2,2,20,3
0,3,4,52,2,60,10308,21,2,2,20,3
0,3,2,54,6,30,3920,21,1,1,10,3
3,6,14,94,1,30,1299,9,1,1,10,3
0,3,13,24,4,60,1796,9,2,1,16,3
0,3,6,49,4,60,1399,9,2,1,16,3
0,3,6,49,4,60,1399,9,2,1,16,3
0,3,6,49,4,60,1399,9,2,1,16,3
0,3,6,49,4,60,1399,9,2,1,16,3
6,5,7,84,6,30,1753,19,2,1,12,3
6,5,6,91,6,30,1498,9,2,1,12,3
3,3,7,50,3,40,849,5,1,1,7,3
0,4,12,28,1,60,1796,9,2,1,21,3
0,4,12,28,1,60,1796,9,2,1,21,3
0,4,12,28,1,60,1796,9,2,1,21,3
0,4,12,28,1,60,1796,9,2,1,21,3
0,4,12,28,1,60,1796,9,2,1,21,3
0,3,15,75,3,40,796,9,1,1,5,3
0,3,14,53,5,60,1084,5,2,1,18,3
0,3,14,53,5,60,1084,5,2,1,18,3
0,3,6,34,5,60,1596,9,2,1,18,3
0,3,8,60,1,60,1242,9,2,1,14,3
0,3,8,60,1,60,1242,9,2,1,14,3
0,3,8,60,1,60,1242,9,2,1,14,3
0,3,2,36,1,60,1582,9,2,1,14,3
0,3,18,24,2,60,1595,9,2,1,15,3
0,3,18,24,2,60,1595,9,2,1,15,3
0,3,18,24,2,60,1595,9,2,1,15,3
0,3,2,63,2,60,1560,9,2,1,15,3
0,3,2,63,2,60,1560,9,2,1,15,3
0,3,13,40,2,60,1896,9,2,1,15,3
0,4,14,26,1,50,645,5,2,1,17,3
0,4,14,26,1,50,645,5,2,1,17,3
0,3,9,21,3,40,1598,9,1,2,22,3
0,3,9,21,3,40,1598,9,1,2,22,3
6,3,13,25,1,40,1870,9,1,1,19,3
6,3,13,25,1,40,1870,9,1,1,19,3
6,3,13,25,1,40,1870,9,1,1,19,3
6,3,13,25,1,40,1870,9,1,1,19,3
0,5,15,25,5,60,1988,9,2,1,5,3
0,5,10,31,5,60,1248,19,2,1,5,3
0,3,17,21,3,30,1796,9,2,1,2,3
0,3,14,32,4,70,1997,9,2,1,1,3
0,3,14,32,4,70,1997,9,2,1,1,3
0,3,10,28,1,60,1794,9,2,2,18,3
0,3,2,49,1,60,1461,9,2,2,18,3
0,3,2,49,1,60,1461,9,2,2,18,3
0,3,2,49,1,60,1461,9,2,2,18,3
0,3,2,49,1,60,1461,9,2,2,18,3
5,3,7,31,7,60,999,5,2,1,12,3
5,3,4,66,7,60,2993,9,2,1,12,3
0,4,8,79,2,30,1587,1,1,2,14,3
0,3,6,27,6,30,2987,9,1,1,6,3
0,3,6,27,6,30,2987,9,1,1,6,3
6,3,14,25,7,30,1124,9,1,1,1,3
6,3,14,25,7,30,1124,9,1,1,1,3
0,4,13,62,5,60,1108,9,2,1,18,3
0,4,8,46,5,60,1587,1,2,1,18,3
3,3,3,26,5,70,125,3,2,1,17,3
0,3,8,28,1,60,1587,9,2,1,14,3
0,3,7,65,1,60,1497,9,2,1,14,3
0,3,7,65,1,60,1497,9,2,1,14,3
0,5,16,23,7,60,1998,9,2,1,21,3
0,3,13,45,6,60,2459,19,2,1,22,3
0,3,13,45,6,60,2459,19,2,1,22,3
0,3,1,28,6,60,1984,9,2,1,22,3
0,3,1,28,6,60,1984,9,2,1,22,3
0,3,1,28,6,60,1984,9,2,1,22,3
0,3,1,28,6,60,1984,9,2,1,22,3
3,3,12,83,4,60,1870,9,2,1,12,3
3,3,12,83,4,60,1870,9,2,1,12,3
3,3,8,50,4,60,12000,11,2,1,12,3
0,4,8,89,1,40,1587,9,2,2,16,3
0,4,8,38,1,40,1587,9,2,2,16,3
0,6,8,74,3,60,1587,1,2,1,13,3
0,3,8,35,3,70,1587,21,2,1,8,3
0,3,8,52,3,70,1587,19,2,1,8,3
0,3,8,52,3,70,1587,19,2,1,8,3
0,3,8,54,3,70,1587,21,2,1,8,3
0,3,8,55,3,70,1587,9,2,1,8,3
0,3,8,30,1,60,1587,9,2,1,3,3
0,3,8,30,1,60,1587,9,2,1,3,3
0,3,8,30,1,60,1587,9,2,1,3,3
0,3,8,30,1,60,1587,9,2,1,3,3
3,3,8,56,1,60,1587,5,2,1,13,3
3,3,8,56,1,60,1587,5,2,1,13,3
3,3,8,27,1,60,1587,9,2,1,13,3
3,3,8,27,1,60,1587,9,2,1,13,3
8,6,8,25,5,60,1587,9,2,1,14,3
8,6,8,25,5,60,1587,9,2,1,14,3
8,6,8,39,5,60,1587,11,2,1,14,3
8,6,8,39,5,60,1587,11,2,1,14,3
0,3,8,60,5,70,1587,1,2,1,14,3
0,6,8,36,2,30,1587,11,2,2,8,3
6,6,8,40,7,30,1587,17,2,1,8,3
9,6,8,40,6,30,1587,98,2,1,16,3
5,3,8,28,2,70,1587,3,2,1,17,3
3,3,8,18,6,40,1587,9,2,1,7,3
3,3,8,42,6,40,1587,5,2,1,7,3
0,3,8,34,1,30,1587,9,2,1,17,3
0,3,8,54,1,60,1587,5,2,1,14,3
0,3,8,54,1,60,1587,5,2,1,14,3
0,4,8,29,5,60,1587,9,2,1,20,3
0,4,8,29,5,60,1587,9,2,1,20,3
